price
464.97
473.77
475.51
481.82
478.71
478.97
479.13
477.47
474.24
467.75
453.25
454.58
448.1
451.48
455.29
465.88
461.45
475.11
467.11
472.93
486.48
490.52
495.45
489.72
488.52
489.42
492.67
491.32
484.84
464.66
472.03
472.95
475.4
482.05
480.87
478.03
492.96
493.17
482.39
478.43
483.28
478.64
483.48
489.01
557.54
558.07
571.85
569.35
565.04
569.63
